#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	spl
#open	2021-05-09-13-37-16
#fields	uid	orig_spl	resp_spl	orig_spt	resp_spt
#types	string	vector[count]	vector[count]	vector[double]	vector[double]
CXr7L6cOZbIauwbRg	40,240,256	40,416,96	0.0,1.429757,0.001304	0.0,0.075274,0.0
C4I8T11wZLMTRU5tx7	40,793,26	40,1546,26	0.0,0.067809,0.022591	0.0,1.994449,0.0
CB4MhI2pw8lTqMTiRj	40	40	0.0	0.0
C85xXu4jDznkvaWebj	40	40	0.0	0.0
CeIOPue4swk2zNz36	40	40	0.0	0.0
CzIMTH3JHweqEX1HW7	40	40	0.0	0.0
CVfYubZhMYqEvOXab	40	40	0.0	0.0
C2wlAO1DPVFuyysiX8	40,408,424	40,24,184,24,440	0.0,4.197096,0.003543	0.0,0.369901,0.0,0.369719,0.0
CfRLu21dJWu6hulqQi	40,408,424	40,24,184,24,440	0.0,2.92318,0.003055	0.0,0.225821,0.0,0.225952,0.0
CcVtku2xkusjhR67Mb	40,408,424	40,24,184,24,440	0.0,6.061994,0.003059	0.0,0.21,0.0,0.209941,0.0
Cbjaqhfxon6gYx3V2	40,408,424	40,24,184,24,440	0.0,8.0613,0.003016	0.0,0.190696,0.0,0.190774,0.0
C52lMZ13cOGUrcCO41	40,424,440	40,24,184,24,440	0.0,9.125898,0.003577	0.0,0.050104,0.0,0.050421,0.0
CG6tzZ19we6mc8Avkj	40,424,440	40,24,184,24,440	0.0,8.760709,0.004738	0.0,0.056021,0.0,0.055523,0.0
C5ZjPvhFchzqWvEsk	40,424,440	40,24,184,24,440	0.0,8.030512,0.0087	0.0,0.203231,0.0,0.203304,0.0
CaIuzd1OUkXFEnsNIb	40,424,440	40,24,184,24,440	0.0,6.791353,0.013805	0.0,0.212662,0.0,0.212445,0.0
CvjbGB2nH8DIV2LTGk	40	40	0.0	0.0
Cawwfc1GopO5K4w5m6	40	40	0.0	0.0
C5cqaV1dUGbS0Kk5We	40	40	0.0	0.0
CV05151PBsMw96sWwb	40	40	0.0	0.0
CTv2Kg4DyG6VDhqDQ8	40,128	40,936	0.0,0.635682	0.0,0.036057
CySsgv2Hkuw2hcvPkl	40	40	0.0	0.0
CupyaOEF9djzDdDlg	40,192,392	40,1016	0.0,2.506976,0.003888	0.0,0.096346
CF06Mz42hU5KhzdYP2	40	40	0.0	0.0
CDeMIS2nwaXgv6GC2h	40,336	40,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424	0.0,3.041141	0.0,0.28261,0.000305,0.000017,0.00067,0.000015,0.000979,0.000289,0.000013,0.000012,0.00028,0.018414,0.005001,0.000027,0.000009,0.00002,0.001197,0.000739,0.000019,0.00001
CXKMld1rFU5R11jWnb	40	40	0.0	0.0
CqNdpq0VB6s3jiCTd	40	40	0.0	0.0
CjkNDw375R3tj57jHk	40	40	0.0	0.0
CpgK53IDg4HJJjZ8c	40	40	0.0	0.0
Cu3BUTYzEgiY5q1ek	64	64	0.0	0.0
C4ZsvgeAEYeA7meAh	40	40	0.0	0.0
CUZ4YY1PJE5JLRVTci	40,424,440	40,24,184,24,440	0.0,6.883946,0.00379	0.0,1.914331,0.0,0.059201,0.0
Cc0Dvy2DkLnx5JRsx8	40,424,440	40,24,184,24,440	0.0,7.345178,0.021562	0.0,0.208816,0.0,0.208438,0.0
CmNTjG3025BUSz6XU1	40,424,440	40,24,184,24,440	0.0,6.81474,0.003496	0.0,0.384719,0.0,0.374043,0.0
CFh5M7102rm9xvO7V1	40,424,440	40,24,184,24,440	0.0,7.722644,0.014618	0.0,0.049353,0.0,0.050373,0.0
CE9fYs12eDqdUEMbm4	40,424,440	40,24,184,24,440	0.0,6.454257,0.00355	0.0,0.377735,0.0,1.157455,0.0
CAPRsJ3AE8TqFrSXUj	40	40	0.0	0.0
C7LsPE3OCcqDMiaYVh	40	40	0.0	0.0
Cdkwb32IFeFSLdSQL9	32,1034	32,132	0.0,1.179117	0.0,0.183609
C5ZqQ23YNRw1364g5i	40	40	0.0	0.0
C5eLnz4ZYjPZ4rfyy8	40	40	0.0	0.0
CgIaic1n3M2IzSoG58	40	40	0.0	0.0
C6fxm81tuaOlWCXkol	40,408,424	40,24,184,24,440	0.0,5.825171,0.006755	0.0,0.373861,0.0,1.119477,0.0
CoFkb53umVS6Vqqcib	40	40	0.0	0.0
C3LOtPjaRP01itya7	40,544	40,744	0.0,2.08279	0.0,0.888025
CyV7II1QCFp5d0Hf22	40,424,440	40,24,184,24,440	0.0,8.99651,0.003601	0.0,0.369505,0.0,0.370016,0.0
CKa67G3zWcDNgjmGYb	40,424,440	40,24,184,24,440	0.0,9.427028,0.003817	0.0,0.224987,0.0,0.225171,0.0
CVIsLeNEamqEBZZY6	40,424,440	40,24,184,24,440	0.0,9.436099,0.003442	0.0,0.202641,0.0,0.202565,0.0
Ce2qdCFYVCSxVAi81	40,424,440	40,24,184,24,440	0.0,8.753562,0.003232	0.0,0.357784,0.0,0.358417,0.0
CCh0803RV13lUmWSYi	40,424,440	40,24,184,24,440	0.0,9.327336,0.003894	0.0,0.210625,0.0,0.211207,0.0
C78cVt4UJSO96sUTXe	40,424,440	40,24,184,24,440	0.0,8.810454,0.010125	0.0,0.242408,0.0,0.241878,0.0
CZNkQT3ITmNZ9fbAak	40,424,440	40,24,184,24,440	0.0,7.491992,0.003614	0.0,0.177693,0.0,0.17765,0.0
C3p7Gy1LYrJveFmRqf	40	40	0.0	0.0
CkzM3GqwpiZI9TJ2l	40,128	40,944	0.0,0.694676	0.0,0.004244
Cm9Gj21T1GIwAspqi7	40,352	40,504,48	0.0,1.586704	0.0,1.245263,0.0
C6254S15ExmMOYLIl7	40	40	0.0	0.0
CIPvVi1NMb4TPQQYc2	40	40	0.0	0.0
CS1s3F2fCQIwY6AhB4	40,128	40,936	0.0,0.781255	0.0,0.007053
CUgxBm3zJ7u9m0yVB1	40	40	0.0	0.0
Ch3cTd2T38bxIv3Y27	40	40	0.0	0.0
CtADo91DGHfw6tbOpk	40	40	0.0	0.0
CRkmAx9Nb2Im3g5Hc	40,128	40,936	0.0,0.704885	0.0,0.005115
CFbyTa4xQs3wKi9x6f	40	40	0.0	0.0
CqqRlU1EM1tYakTKp	40	40	0.0	0.0
CPVxKb45q0nAeqaemg	40	40	0.0	0.0
CHm5pl16HmO83sxbX2	40	40	0.0	0.0
CEmYsbfYvstu8le04	40	40	0.0	0.0
CKoFfh2qjNNLd8cUri	40,544	40,744	0.0,1.50198	0.0,0.891496
CyLkRv2cQYo6DGIOSg	40	40	0.0	0.0
CQqKO74hPTMENWOTaf	40	40	0.0	0.0
CIyA2c1xqu2ybY4Ttc	40	40,24	0.0	0.0,1.819294
CuCDjB1n6Fc1YAxktj	40	40	0.0	0.0
CFtxYo3vSYEgSx64Xg	40	40	0.0	0.0
CcFZXC3Cze1f0yNRZ	40	40	0.0	0.0
C4UQkA4yWMM27Vk3yb	32,190	32,271	0.0,4.112157	0.0,0.21121
CsLv9F46UqEGXqZail	40	40	0.0	0.0
CSMNKb1XkJygjJja9f	40	40	0.0	0.0
CXasYpxfBG6bFG8Qk	40	40	0.0	0.0
CKIMXC16xxqorrGbec	40	40	0.0	0.0
CxkhsMhqKtFO0cjS1	40	40	0.0	0.0
C6fSPL2RN3BLmhxfJi	40	40	0.0	0.0
CKajcz3T2VP7nWYB2d	40	40,24	0.0	0.0,2.758112
CsMiuX2XJs5tZMmSW9	40	40	0.0	0.0
C6HETd4IzN7IV7nFp	40	40	0.0	0.0
CRoZ8B3A7guE93tGUf	40	40	0.0	0.0
CyQnoA39qqYbomIWma	40	40	0.0	0.0
CVCHw91QcuYiyXZDTl	40,1047,26	40,881,26	0.0,0.026719,0.005163	0.0,0.273691,0.0
CbnfQiWy4YN4Zpf21	40	40	0.0	0.0
CPxJAl2zk9bpaue4me	40	40	0.0	0.0
CZW1Wc2VUZWtWvKrYc	40	40	0.0	0.0
Ci7WA61ChDxSyXQlbe	40	40	0.0	0.0
CjHal22icakNNBD6uf	40	40	0.0	0.0
CUBtqM32cnm3C9Exe8	40,576	40,3368,24	0.0,0.114499	0.0,0.038565,0.0
C5uXAG4nZr3anCHUr6	40	40	0.0	0.0
CAPtLi1f8p72nATGg	40	40	0.0	0.0
Cpfxf51k3wOfJ7HpB9	40,216	40,384,24	0.0,2.537912	0.0,0.246488,0.188858
Cajbs54TGpQSktntQ9	40	40	0.0	0.0
CD1f6C2zBfCuS3QCoh	40	40	0.0	0.0
CeGD6g3YLDeiK3cWh9	40	40	0.0	0.0
CW7ite1FOtaKt7Sa9a	40	40	0.0	0.0
Cef3wj35gqWK2nsEcc	40	40	0.0	0.0
ChUJqEU4EoVPTUE3a	40	40	0.0	0.0
Cy9Btc2zIc4TL0UuCc	40	40	0.0	0.0
CZOpYRfyb1qWUzk9j	40	40	0.0	0.0
C0ebqc23h6bQGlXNic	40,384	40,4488,48	0.0,0.067262	0.0,0.006066,0.0
Ctn6Jb2ycBaiaawFEf	40	40	0.0	0.0
Cfs88B4llPNyZb7IV9	40	40	0.0	0.0
C8qTiU2NQtLnqi8nOa	40	40	0.0	0.0
CHLiQEuULl2jlx005	40	40	0.0	0.0
CIfi6t2cEi2AyhCifa	40	40	0.0	0.0
CNcWdt4yCMBbxGUyR1	40	40	0.0	0.0
CyJjkw4zKdbdjbq98g	40	40	0.0	0.0
ChehFAxwx6By8cyZ9	40	40	0.0	0.0
COpZBy4PJVkbNXwsA	40,216	40,384,24	0.0,2.427421	0.0,1.936962,0.141349
CR0Skt4fCYLMkDdb7a	32,389	32,132	0.0,0.428344	0.0,0.245737
CpGUPS1rL1RRBPYW62	40	40	0.0	0.0
CAh6Zm12sRvy369xC3	40	40	0.0	0.0
ChVRJ22j2g1r6RkvT8	40	40	0.0	0.0
CCx9FNUho0X24PPL1	40	40	0.0	0.0
C0mLLI2JlqjwPtQYo8	40,216	40,384,24	0.0,1.674087	0.0,0.273737,0.255853
Cw3CKl2whsGmVNxbL5	64	64	0.0	0.0
CkmjYE1LepgAdTlE3g	40	40	0.0	0.0
CEr06Q2tg6574rdfh1	40	40	0.0	0.0
CZCzVl2Uob8LHd0L5	40	40	0.0	0.0
CaW4tr207JXRhM8dqc	40	40	0.0	0.0
CiDvjU1oFtuuLyPoue	36,440,606	36,4020,116,21,4020,116,4020,4020,4020,4020,4020,4020,4020,698,22,4020,116,4020,4020,4020	0.0,2.109426,4.688458	0.0,0.043907,0.0,0.0,0.000998,0.0,0.000699,0.000035,0.001211,0.000038,0.001714,0.000035,0.024262,0.0,0.000011,0.000021,0.0,0.007939,0.000035,0.001695
Chr7g94ZDOi4kByzG	40,148,26	40,168,26	0.0,0.006698,0.006189	0.0,0.020947,0.0
CMrMRlT9K69ODtfkb	40	40	0.0	0.0
Crt01s17PY82gMI0f6	40	40	0.0	0.0
CZy6SX2uEvWuXkIs0a	40	40	0.0	0.0
CrrCv13M6vgFRqwF1h	40	40	0.0	0.0
CNaikV3p1LK4OYwdZ	64	64	0.0	0.0
C2Ao8511pDX0mFcdU4	40	40	0.0	0.0
CPR1Ch3azSavGJxP8c	40	40	0.0	0.0
CJidDO3v2Wd7SmySI4	40,384	40,4160,376,48	0.0,0.0687	0.0,0.009855,0.00001,0.0
CVx46w1ZpvZ72q66x9	40	40	0.0	0.0
CabxPT1yEXcfU4F3Gj	40,544	40,744	0.0,2.070482	0.0,0.888829
CdCLi91qAcm7MRT9K	40,832	40,1320	0.0,2.651839	0.0,0.490899
CmfDSAQpf0XAFXlmk	60,40,262,26	40,380	0.0,0.0,0.007446,0.920468	0.0,0.053557
CwredQ1mFlFalKn6W8	40	40	0.0	0.0
C9R8Rq2DIkMqFFTtee	40	40	0.0	0.0
CafR9p1u8jXy8PSFPe	32,190	32,271	0.0,4.052346	0.0,0.220644
CEFxk42lqrUNmffY8k	40	40	0.0	0.0
CPDJug4mxdTuNqQbG	40	40	0.0	0.0
Cxad5wXNwmW24Y8c2	40	40	0.0	0.0
C6TXWk43nblvrMe2Nb	40	40	0.0	0.0
C3OQPJ3lJvToIyag1g	40	40	0.0	0.0
CuwCLG1a2Qzfqt5njj	40	40	0.0	0.0
CL0NH8YXB2lJxP37l	40	40	0.0	0.0
CSqhL027AgYINvqExk	40	40	0.0	0.0
CXnq9727Ou3afvNZL8	40	40	0.0	0.0
CFdNr334ruphmShqtd	40,192,392	40,1008	0.0,2.323807,0.002104	0.0,0.122117
CC6p2BZdng5iEA376	40	40	0.0	0.0
CkHF7S1ufWof0iJxqe	40,352	40	0.0,10.912228	0.0
CdhaGg1ZteMifOq43g	40	40	0.0	0.0
CuHHo92AigMsXut1k9	40	40	0.0	0.0
Csa0Yy11SsBPhe8Izg	40	40	0.0	0.0
C9hpUh4MgAciTZNsTa	40	40	0.0	0.0
CaIBXE3kKiitV7DFF6	40,1047,26	40,879,26	0.0,0.020498,0.005066	0.0,0.269545,0.0
CfE4x73BMJ4B6XkYa7	40	40	0.0	0.0
C0Gleq3WPpuBR0Q0Pb	40	40	0.0	0.0
CaoZBi2We6aUys3Pnl	40	40	0.0	0.0
CusQ3b24JOiOtXHpi8	40	40	0.0	0.0
Cyt8x31L42ExICRlj	36	36	0.0	0.0
COZbOXQkQVcddJfzj	40	40	0.0	0.0
CFpkeF2dwxCXtOhPAg	40	40	0.0	0.0
CNgac4grpZECriBV3	40	40	0.0	0.0
C6AdB91Mecs89bMB53	40	40	0.0	0.0
COdkGMiQFKfUUEKs2	40	40,24	0.0	0.0,5.815631
Cubz0m2WZza4AjE8f	40	40	0.0	0.0
Cgc4yo3pLgiKHK6VYc	40	40	0.0	0.0
CWz41jw3Te5fG4oF	40,232	40,4488,5864,1432	0.0,2.643642	0.0,0.212755,1.584915,0.19401
C60XEG1I0PIp7LuAG8	40,408,424	40,24,184,24,440	0.0,6.957104,0.004976	0.0,0.228101,0.0,0.73808,0.0
CnjsWD4xDT3nQ7qYci	40,224	40,24,200	0.0,4.786425	0.0,0.285097,0.0
C5Uj8f4UC5zaHukrie	40	40	0.0	0.0
CwqmQs37KU09kzdJq4	40,148,26	40,168,26	0.0,0.006374,0.004335	0.0,0.021363,0.0
C3pSML7idFBpAOY8k	40	40	0.0	0.0
C3x5C43g55s7be2ekh	40	40	0.0	0.0
CeSDoT1FscP3aUD0Me	40,352	40	0.0,11.414589	0.0
CFBvQGV7xzMUu4JZd	40	40	0.0	0.0
C0dDCQiaap58l5pK6	64	64	0.0	0.0
CObuls3dvL3CZGkja6	40	40	0.0	0.0
CkC51l3b9ALviA6OUk	40	40	0.0	0.0
CLg2uf1hjE4bNyHpT	40	40	0.0	0.0
C6xHEw4eTrC4ld3M2i	40	40	0.0	0.0
CY931H3tMP0LPG11hg	40	40	0.0	0.0
C4CpZo1GtRTJPM3wlk	40	40	0.0	0.0
CeLUMo20a2gWmoqkCk	40	40	0.0	0.0
CyqU8E1IfJVoen85F1	40,352	40	0.0,11.438604	0.0
CRI0QTvFSCGBUwy0k	40,264	40,400	0.0,2.42462	0.0,0.20748
ChPH6Y3RpIL841e16d	40	40	0.0	0.0
CKz6er1LbaPI2Uaes4	40	40	0.0	0.0
Cq7qG93pPEIoWqFbD8	40	40	0.0	0.0
C65rNW2ZDHdWz9EXKk	40,352	40	0.0,12.130126	0.0
C2ZbFN1Czm6DWYRi3i	40	40	0.0	0.0
CV53u1NvIqvvqonJk	40	40	0.0	0.0
Cebf1t1zyK4nNWLWgb	40	40	0.0	0.0
CPrlcr1kIMNkwIF25	40,352	40	0.0,12.320924	0.0
Cz49sISe81N0CdLyf	40	40	0.0	0.0
C70rjj10CAw6MZZbwb	40	40	0.0	0.0
CO8gICY7m70D7tJQg	40	40	0.0	0.0
C5nLQV3B6A3EeudHNg	40	40	0.0	0.0
CgbDRI3SLII2TzB5f1	40,832	40,1312	0.0,2.409801	0.0,1.4585
CMiNiw2M73Io6DnmTg	40	40	0.0	0.0
Cozs5nFo735zfiKz8	40	40	0.0	0.0
C53IYW1ZEGakaoLuKl	40	40	0.0	0.0
CK8jow4zQ0oYTkwAia	40	40	0.0	0.0
CUMY2E1b6s7hkZH5Fd	40	40	0.0	0.0
CznV261BbAiH9YsePh	40	40	0.0	0.0
CTSJh037ze4wDvHRh4	40,168,200	40,256,3392	0.0,2.850623,0.03119	0.0,0.18438,0.198338
CzlfbQZkXJapZa8j6	40,112	40,256	0.0,0.057263	0.0,0.193534
CrpYuR14oIvABwpZ9	40	40	0.0	0.0
Ci0qL1jxUVO3geyvh	40	40	0.0	0.0
CG4enIzLSjnfTH0H3	40,264	40,24	0.0,2.56668	0.0,3.890033
CduJpC2cCUmx9JpmPi	40	40	0.0	0.0
CrgUoP14fplRPcknA5	40	40	0.0	0.0
CGPLTg4enhofV41c39	40,424,440	40,24,184,24,440	0.0,6.14918,0.003367	0.0,0.226601,0.0,0.668106,0.0
CmWg9J2JpkBumjANZ2	40	40	0.0	0.0
CrXQHq4XwMT314U5dk	40	40	0.0	0.0
CcqmdEh6ALML9FIb5	40,368	40,13384	0.0,1.795406	0.0,0.048147
C0aGQl4chGNdvmRDAl	40	40	0.0	0.0
CCAmk21uFdBV4Bmt77	40	40	0.0	0.0
CwaNOs1lCdPPxxqsBh	40	40	0.0	0.0
CR8FOZ2V7FQlyqKGFk	40	40	0.0	0.0
CkwsDx2mfY4oI1zMwa	40,424,440	40,24,184,24,440	0.0,8.542627,0.003427	0.0,0.415242,0.0,0.415704,0.0
CDKfML3WSMSVhx8v0j	40	40	0.0	0.0
CiS8y03Hdqih2QdYki	40,128	40,944	0.0,1.44116	0.0,0.004862
CSNHnK3VyCw8Idapv2	40,384,400	40,4488,48,16408,9288	0.0,0.209876,0.948026	0.0,0.137186,0.0,0.012932,0.00125
C4kbew3JuVfuxqUlmi	32,213	32,174	0.0,8.214549	0.0,0.292215
CJJLW11sjUDIgViZWh	40	40	0.0	0.0
ChK5ZV2ZsoS1ia3735	40	40	0.0	0.0
C7kPIn2H2KDphYi3lg	40	40	0.0	0.0
CJckNchoMWWIJ3Rof	40	40	0.0	0.0
COvTlm1Jg5xd4xdFyd	40	40	0.0	0.0
CMNnz531C3Jz2Rbige	40	40,24	0.0	0.0,0.362726
CrwRRQRLQSJAI79ch	40	40	0.0	0.0
CptdCT14dkeXli9SSb	40	40	0.0	0.0
CbwiBg4es1YhD4gD7g	40	40	0.0	0.0
CekVXl2gBji1Tpwp2b	40	40	0.0	0.0
CAZuKO5vtNXZO6ZU9	40	40	0.0	0.0
CPQKBK1kfgFFiJSCzb	40	40	0.0	0.0
CZqzfndL312LdfAOf	40	40	0.0	0.0
CisFXA2tejydZpsAR	32,215	32,174	0.0,2.340953	0.0,0.278327
CHo1OT39w2rk6riwd3	40	40	0.0	0.0
CJYxSc17FrBZdgRMc6	40	40	0.0	0.0
Ckxpi84iCvJlRF8KGb	40	40	0.0	0.0
CqBURo3h8XK2auHzzd	40	40	0.0	0.0
CTjMUD3F64GM0EWuQ9	40	40	0.0	0.0
ClgnAX1GjOlRGnsZZ8	40	40	0.0	0.0
CiKn0y3dt4UyzwEJYg	40	40	0.0	0.0
CM6drv10zTojod1Ghg	40	40	0.0	0.0
CraUyI3aKyH9cxBhHb	36,542	36,1469,3473,25,22	0.0,0.03189	0.0,0.035391,0.00125,0.0,0.695716
CVhqoj1JSoC5BUg7p9	40,832	40,1320	0.0,2.271612	0.0,0.599745
CUQb1V1Id5MbYREw85	40	40	0.0	0.0
Cre2HN2gmFfSVUwmjk	64	64	0.0	0.0
CcMkql1GXMaD4oFTnh	40	40	0.0	0.0
