uid,orig_spl,resp_spl,orig_spt,resp_spt,label
CyF93g4fIMuKWbLAZd,"40,272,400,272,384","40,432,272,32,488,32","0.0,2.589098,0.004387,0.835099,0.002414","0.0,0.109766,0.000169,0.0,0.120468,0.0",white
CxqFfU0j3OfHImQcb,"40,272","40,520","0.0,1.980513","0.0,0.245491",white
CX3JsK1qeub8HshBS4,40,40,0.0,0.0,white
CDQuiY1hXDLXRScAb2,"32,393","32,132","0.0,0.512928","0.0,0.231972",white
CUC9IVUPtVKYrDFmh,40,40,0.0,0.0,white
C7d7Ke1k6CfkqQnNdl,40,40,0.0,0.0,white
CYPVLB2dT1v6JQRaf,40,40,0.0,0.0,white
CSvu31yNV6MgkS7i,40,40,0.0,0.0,white
CcoQTy3sRhcOs2tWSf,40,40,0.0,0.0,white
CcWZaJ2aQTOilTZk49,40,40,0.0,0.0,white
CWb5s22qAyg4nQy89e,40,40,0.0,0.0,white
ChF0l745JsYWnwrwaa,"40,148,26","40,168,26","0.0,0.007213,0.004692","0.0,0.022788,0.0",white
CjT0dh3tF67Sr5UfAi,"40,208,576","40,216,24","0.0,1.54271,0.002272","0.0,0.059243,0.0",white
CjjC8y3z3DoIX4gsvd,40,40,0.0,0.0,white
CwtwoTuKkzPWYsxn9,40,40,0.0,0.0,white
CyUvrS25HZ555EXSg5,40,40,0.0,0.0,white
Cricsm4FzHp4mxsfB5,40,40,0.0,0.0,white
CGnuVn2hXaIlirFMrd,40,40,0.0,0.0,white
CsGBnBH5Vk5V0CyT4,40,40,0.0,0.0,white
C65BKi1v4ta0LSsSpb,40,40,0.0,0.0,white
CEFLVIovk4mZujAFh,40,40,0.0,0.0,white
CHmdn6b8Cjurhsjj2,40,40,0.0,0.0,white
CZI3c41v35hiFpendb,40,40,0.0,0.0,white
CKE77q43Ka337h3XAf,40,40,0.0,0.0,white
CdkED11NRj3KfxQbLa,40,40,0.0,0.0,white
CCpCxgRqJtBkFicQi,40,40,0.0,0.0,white
CDhXFq1oeHfXhC6nb5,40,40,0.0,0.0,white
Cmd0x2Gdsleey51i6,40,40,0.0,0.0,white
CcizPO2ZzjRfgUHN9h,"32,391","32,132","0.0,0.468891","0.0,0.237491",white
CGMcJ71ZwWhNxEUnk8,"40,181,26","40,163","0.0,0.005895,0.001736","0.0,0.021463",white
CBu82v32dTV6hIxNIj,40,40,0.0,0.0,white
CgAFji4SyPb3IBpUNd,"40,576","40,3368,24","0.0,0.143172","0.0,0.035136,0.000046",white
CTza6pqeeYY75wad3,"36,599,22","36,22","0.0,0.014428,0.00897","0.0,0.012576",white
C6S2p03PITjonVBZU,40,40,0.0,0.0,white
CQ9Xpt3CySUpRan3g2,40,40,0.0,0.0,white
Cbk6SjrhP5PZvbRn8,"40,280","40,24","0.0,0.027924","0.0,4.658845",white
Cqtmf32v8yBtlR42oj,"32,391","32,132","0.0,1.158946","0.0,0.237611",white
CFYJ6F2qcbGzJCveO5,"40,544","40,744","0.0,1.02561","0.0,1.957845",white
CvuVUm4hWloNxCX0ng,40,40,0.0,0.0,white
CDZPmjbNppkBifGc6,40,40,0.0,0.0,white
CmuIi4jphoCHQHjG5,40,40,0.0,0.0,white
C4v2DP28vMyMSCura2,40,40,0.0,0.0,white
ChNHb63VBACxbmvul1,40,40,0.0,0.0,white
CLrINT1HItsd6xjvaf,"40,354,26","40,772","0.0,0.01457,0.00413","0.0,0.02443",white
CBRqls3kZkErrmfwSg,40,40,0.0,0.0,white
CtXjbC1PHExfluxiue,"40,408,424","40,24,184,24,440","0.0,5.435807,0.003356","0.0,0.240459,0.0,0.243391,0.0",white
C0ycPu1Zqads3hBQdd,"40,408,424","40,24,184,24,440","0.0,2.802114,0.003436","0.0,0.299886,0.0,0.300812,0.0",white
CZ4li913FTdkIsiV9b,"40,408,424","40,24,184,24,440","0.0,5.440028,0.0062","0.0,0.056967,0.0,0.057067,0.0",white
CVO0xp4iP0RPbC8Wsk,"40,408,424","40,24,184,24,440","0.0,3.896104,0.003886","0.0,0.058911,0.0,0.059102,0.0",white
CdHpXdsSiR5HpvqR4,"40,408,424","40,24,184,24,440","0.0,2.664526,0.016496","0.0,0.233473,0.0,0.695013,0.0",white
CqFxZuW7BSzWt1y5i,40,40,0.0,0.0,white
C5KRy22vJZTdTgwgo1,40,40,0.0,0.0,white
CHpQd629LJLAuUGbfb,"32,1163,36","32,132","0.0,0.504215,0.001152","0.0,0.675643",white
CViH8C4KbmMfAG46Gg,40,40,0.0,0.0,white
Cesvb836pT5oNf10v8,40,40,0.0,0.0,white
CAM6Ip4tpDOBaMpu4j,"32,80,124,25","32,56,25,728,25","0.0,0.02193,0.013311,0.012583","0.0,0.000385,0.007832,0.006511,0.0",white
Cpl30z3bepm6sw2516,"32,80,118,25,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29","32,56,25,1126,16400,16400,52,16400,16400,52,16400,16400,52,16400,16400,52,16400,16400,52,16400","0.0,0.00435,0.009507,0.005318,0.000138,0.034593,0.012345,0.025759,0.007511,0.034277,0.008538,0.019616,0.011392,0.011736,0.015374,0.019849,0.006033,0.020682,0.006762,0.01865","0.0,0.000176,0.006398,0.004155,0.008288,0.003003,0.0,0.003411,0.002319,0.000013,0.016617,0.00267,0.0,0.003738,0.002984,0.0,0.011027,0.00263,0.0,0.003182",white
CH0hxOknqDu2VKPQg,40,40,0.0,0.0,white
CvhREt1FVtKHidW6L9,40,40,0.0,0.0,white
CK8jje2fx6z90XSH8j,"40,424,440","40,24,184,24,440","0.0,6.362164,0.020717","0.0,0.388171,0.0,0.442209,0.0",white
CQ9HCK1gx6Yrulsqlc,"40,424,440","40,24,184,24,440","0.0,4.965435,0.003179","0.0,0.250565,0.0,0.250084,0.0",white
C4HRWg4YShkspHknk7,"40,424,440","40,24,184,24,440","0.0,6.691338,0.003184","0.0,0.201724,0.0,0.201596,0.0",white
Ctm9Pv3ugvzqeDZRn,"40,424,440","40,24,184,24,440","0.0,3.902379,0.01242","0.0,0.362605,0.0,0.36258,0.0",white
Cx0vR31QeP3wbzOSr1,"32,190","32,271","0.0,3.386386","0.0,0.224177",white
C4I8T11wZLMTRU5tx7,"40,793,26","40,1546,26","0.0,0.067809,0.022591","0.0,1.994449,0.0",white
CB4MhI2pw8lTqMTiRj,40,40,0.0,0.0,white
C85xXu4jDznkvaWebj,40,40,0.0,0.0,white
CeIOPue4swk2zNz36,40,40,0.0,0.0,white
CzIMTH3JHweqEX1HW7,40,40,0.0,0.0,white
CVfYubZhMYqEvOXab,40,40,0.0,0.0,white
C2wlAO1DPVFuyysiX8,"40,408,424","40,24,184,24,440","0.0,4.197096,0.003543","0.0,0.369901,0.0,0.369719,0.0",white
CfRLu21dJWu6hulqQi,"40,408,424","40,24,184,24,440","0.0,2.92318,0.003055","0.0,0.225821,0.0,0.225952,0.0",white
CcVtku2xkusjhR67Mb,"40,408,424","40,24,184,24,440","0.0,6.061994,0.003059","0.0,0.21,0.0,0.209941,0.0",white
Cbjaqhfxon6gYx3V2,"40,408,424","40,24,184,24,440","0.0,8.0613,0.003016","0.0,0.190696,0.0,0.190774,0.0",white
C52lMZ13cOGUrcCO41,"40,424,440","40,24,184,24,440","0.0,9.125898,0.003577","0.0,0.050104,0.0,0.050421,0.0",white
CG6tzZ19we6mc8Avkj,"40,424,440","40,24,184,24,440","0.0,8.760709,0.004738","0.0,0.056021,0.0,0.055523,0.0",white
C5ZjPvhFchzqWvEsk,"40,424,440","40,24,184,24,440","0.0,8.030512,0.0087","0.0,0.203231,0.0,0.203304,0.0",white
CaIuzd1OUkXFEnsNIb,"40,424,440","40,24,184,24,440","0.0,6.791353,0.013805","0.0,0.212662,0.0,0.212445,0.0",white
CvjbGB2nH8DIV2LTGk,40,40,0.0,0.0,white
Cawwfc1GopO5K4w5m6,40,40,0.0,0.0,white
C5cqaV1dUGbS0Kk5We,40,40,0.0,0.0,white
CV05151PBsMw96sWwb,40,40,0.0,0.0,white
CTv2Kg4DyG6VDhqDQ8,"40,128","40,936","0.0,0.635682","0.0,0.036057",white
CySsgv2Hkuw2hcvPkl,40,40,0.0,0.0,white
CupyaOEF9djzDdDlg,"40,192,392","40,1016","0.0,2.506976,0.003888","0.0,0.096346",white
CF06Mz42hU5KhzdYP2,40,40,0.0,0.0,white
CDeMIS2nwaXgv6GC2h,"40,336","40,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424,1424","0.0,3.041141","0.0,0.28261,0.000305,0.000017,0.00067,0.000015,0.000979,0.000289,0.000013,0.000012,0.00028,0.018414,0.005001,0.000027,0.000009,0.00002,0.001197,0.000739,0.000019,0.00001",white
CXKMld1rFU5R11jWnb,40,40,0.0,0.0,white
CqNdpq0VB6s3jiCTd,40,40,0.0,0.0,white
CjkNDw375R3tj57jHk,40,40,0.0,0.0,white
CpgK53IDg4HJJjZ8c,40,40,0.0,0.0,white
Cu3BUTYzEgiY5q1ek,64,64,0.0,0.0,white
C4ZsvgeAEYeA7meAh,40,40,0.0,0.0,white
CUZ4YY1PJE5JLRVTci,"40,424,440","40,24,184,24,440","0.0,6.883946,0.00379","0.0,1.914331,0.0,0.059201,0.0",white
Cc0Dvy2DkLnx5JRsx8,"40,424,440","40,24,184,24,440","0.0,7.345178,0.021562","0.0,0.208816,0.0,0.208438,0.0",white
CmNTjG3025BUSz6XU1,"40,424,440","40,24,184,24,440","0.0,6.81474,0.003496","0.0,0.384719,0.0,0.374043,0.0",white
CFh5M7102rm9xvO7V1,"40,424,440","40,24,184,24,440","0.0,7.722644,0.014618","0.0,0.049353,0.0,0.050373,0.0",white
CE9fYs12eDqdUEMbm4,"40,424,440","40,24,184,24,440","0.0,6.454257,0.00355","0.0,0.377735,0.0,1.157455,0.0",white
CAPRsJ3AE8TqFrSXUj,40,40,0.0,0.0,white
C7LsPE3OCcqDMiaYVh,40,40,0.0,0.0,white
Cdkwb32IFeFSLdSQL9,"32,1034","32,132","0.0,1.179117","0.0,0.183609",white
C5ZqQ23YNRw1364g5i,40,40,0.0,0.0,white
C5eLnz4ZYjPZ4rfyy8,40,40,0.0,0.0,white
CgIaic1n3M2IzSoG58,40,40,0.0,0.0,white
C6fxm81tuaOlWCXkol,"40,408,424","40,24,184,24,440","0.0,5.825171,0.006755","0.0,0.373861,0.0,1.119477,0.0",white
CoFkb53umVS6Vqqcib,40,40,0.0,0.0,white
C3LOtPjaRP01itya7,"40,544","40,744","0.0,2.08279","0.0,0.888025",white
CyV7II1QCFp5d0Hf22,"40,424,440","40,24,184,24,440","0.0,8.99651,0.003601","0.0,0.369505,0.0,0.370016,0.0",white
CKa67G3zWcDNgjmGYb,"40,424,440","40,24,184,24,440","0.0,9.427028,0.003817","0.0,0.224987,0.0,0.225171,0.0",white
CVIsLeNEamqEBZZY6,"40,424,440","40,24,184,24,440","0.0,9.436099,0.003442","0.0,0.202641,0.0,0.202565,0.0",white
Ce2qdCFYVCSxVAi81,"40,424,440","40,24,184,24,440","0.0,8.753562,0.003232","0.0,0.357784,0.0,0.358417,0.0",white
CCh0803RV13lUmWSYi,"40,424,440","40,24,184,24,440","0.0,9.327336,0.003894","0.0,0.210625,0.0,0.211207,0.0",white
C78cVt4UJSO96sUTXe,"40,424,440","40,24,184,24,440","0.0,8.810454,0.010125","0.0,0.242408,0.0,0.241878,0.0",white
CZNkQT3ITmNZ9fbAak,"40,424,440","40,24,184,24,440","0.0,7.491992,0.003614","0.0,0.177693,0.0,0.17765,0.0",white
C3p7Gy1LYrJveFmRqf,40,40,0.0,0.0,white
CkzM3GqwpiZI9TJ2l,"40,128","40,944","0.0,0.694676","0.0,0.004244",white
Cm9Gj21T1GIwAspqi7,"40,352","40,504,48","0.0,1.586704","0.0,1.245263,0.0",white
C6254S15ExmMOYLIl7,40,40,0.0,0.0,white
CIPvVi1NMb4TPQQYc2,40,40,0.0,0.0,white
CS1s3F2fCQIwY6AhB4,"40,128","40,936","0.0,0.781255","0.0,0.007053",white
CUgxBm3zJ7u9m0yVB1,40,40,0.0,0.0,white
Ch3cTd2T38bxIv3Y27,40,40,0.0,0.0,white
CtADo91DGHfw6tbOpk,40,40,0.0,0.0,white
CRkmAx9Nb2Im3g5Hc,"40,128","40,936","0.0,0.704885","0.0,0.005115",white
CFbyTa4xQs3wKi9x6f,40,40,0.0,0.0,white
CqqRlU1EM1tYakTKp,40,40,0.0,0.0,white
CPVxKb45q0nAeqaemg,40,40,0.0,0.0,white
CHm5pl16HmO83sxbX2,40,40,0.0,0.0,white
CEmYsbfYvstu8le04,40,40,0.0,0.0,white
CKoFfh2qjNNLd8cUri,"40,544","40,744","0.0,1.50198","0.0,0.891496",white
CyLkRv2cQYo6DGIOSg,40,40,0.0,0.0,white
CQqKO74hPTMENWOTaf,40,40,0.0,0.0,white
CIyA2c1xqu2ybY4Ttc,40,"40,24",0.0,"0.0,1.819294",white
CuCDjB1n6Fc1YAxktj,40,40,0.0,0.0,white
CFtxYo3vSYEgSx64Xg,40,40,0.0,0.0,white
CcFZXC3Cze1f0yNRZ,40,40,0.0,0.0,white
C4UQkA4yWMM27Vk3yb,"32,190","32,271","0.0,4.112157","0.0,0.21121",white
CsLv9F46UqEGXqZail,40,40,0.0,0.0,white
CSMNKb1XkJygjJja9f,40,40,0.0,0.0,white
CXasYpxfBG6bFG8Qk,40,40,0.0,0.0,white
CKIMXC16xxqorrGbec,40,40,0.0,0.0,white
CxkhsMhqKtFO0cjS1,40,40,0.0,0.0,white
C6fSPL2RN3BLmhxfJi,40,40,0.0,0.0,white
CKajcz3T2VP7nWYB2d,40,"40,24",0.0,"0.0,2.758112",white
CsMiuX2XJs5tZMmSW9,40,40,0.0,0.0,white
C6HETd4IzN7IV7nFp,40,40,0.0,0.0,white
CRoZ8B3A7guE93tGUf,40,40,0.0,0.0,white
CyQnoA39qqYbomIWma,40,40,0.0,0.0,white
CVCHw91QcuYiyXZDTl,"40,1047,26","40,881,26","0.0,0.026719,0.005163","0.0,0.273691,0.0",white
CbnfQiWy4YN4Zpf21,40,40,0.0,0.0,white
CPxJAl2zk9bpaue4me,40,40,0.0,0.0,white
CZW1Wc2VUZWtWvKrYc,40,40,0.0,0.0,white
Ci7WA61ChDxSyXQlbe,40,40,0.0,0.0,white
CjHal22icakNNBD6uf,40,40,0.0,0.0,white
CUBtqM32cnm3C9Exe8,"40,576","40,3368,24","0.0,0.114499","0.0,0.038565,0.0",white
C5uXAG4nZr3anCHUr6,40,40,0.0,0.0,white
CAPtLi1f8p72nATGg,40,40,0.0,0.0,white
Cpfxf51k3wOfJ7HpB9,"40,216","40,384,24","0.0,2.537912","0.0,0.246488,0.188858",white
Cajbs54TGpQSktntQ9,40,40,0.0,0.0,white
CD1f6C2zBfCuS3QCoh,40,40,0.0,0.0,white
CeGD6g3YLDeiK3cWh9,40,40,0.0,0.0,white
CW7ite1FOtaKt7Sa9a,40,40,0.0,0.0,white
Cef3wj35gqWK2nsEcc,40,40,0.0,0.0,white
ChUJqEU4EoVPTUE3a,40,40,0.0,0.0,white
Cy9Btc2zIc4TL0UuCc,40,40,0.0,0.0,white
CZOpYRfyb1qWUzk9j,40,40,0.0,0.0,white
C0ebqc23h6bQGlXNic,"40,384","40,4488,48","0.0,0.067262","0.0,0.006066,0.0",white
Ctn6Jb2ycBaiaawFEf,40,40,0.0,0.0,white
Cfs88B4llPNyZb7IV9,40,40,0.0,0.0,white
C8qTiU2NQtLnqi8nOa,40,40,0.0,0.0,white
CHLiQEuULl2jlx005,40,40,0.0,0.0,white
CIfi6t2cEi2AyhCifa,40,40,0.0,0.0,white
CNcWdt4yCMBbxGUyR1,40,40,0.0,0.0,white
CyJjkw4zKdbdjbq98g,40,40,0.0,0.0,white
ChehFAxwx6By8cyZ9,40,40,0.0,0.0,white
COpZBy4PJVkbNXwsA,"40,216","40,384,24","0.0,2.427421","0.0,1.936962,0.141349",white
CR0Skt4fCYLMkDdb7a,"32,389","32,132","0.0,0.428344","0.0,0.245737",white
CpGUPS1rL1RRBPYW62,40,40,0.0,0.0,white
CAh6Zm12sRvy369xC3,40,40,0.0,0.0,white
ChVRJ22j2g1r6RkvT8,40,40,0.0,0.0,white
CCx9FNUho0X24PPL1,40,40,0.0,0.0,white
C0mLLI2JlqjwPtQYo8,"40,216","40,384,24","0.0,1.674087","0.0,0.273737,0.255853",white
Cw3CKl2whsGmVNxbL5,64,64,0.0,0.0,white
CkmjYE1LepgAdTlE3g,40,40,0.0,0.0,white
CEr06Q2tg6574rdfh1,40,40,0.0,0.0,white
CZCzVl2Uob8LHd0L5,40,40,0.0,0.0,white
CaW4tr207JXRhM8dqc,40,40,0.0,0.0,white
CiDvjU1oFtuuLyPoue,"36,440,606","36,4020,116,21,4020,116,4020,4020,4020,4020,4020,4020,4020,698,22,4020,116,4020,4020,4020","0.0,2.109426,4.688458","0.0,0.043907,0.0,0.0,0.000998,0.0,0.000699,0.000035,0.001211,0.000038,0.001714,0.000035,0.024262,0.0,0.000011,0.000021,0.0,0.007939,0.000035,0.001695",white
Chr7g94ZDOi4kByzG,"40,148,26","40,168,26","0.0,0.006698,0.006189","0.0,0.020947,0.0",white
CMrMRlT9K69ODtfkb,40,40,0.0,0.0,white
Crt01s17PY82gMI0f6,40,40,0.0,0.0,white
CZy6SX2uEvWuXkIs0a,40,40,0.0,0.0,white
CrrCv13M6vgFRqwF1h,40,40,0.0,0.0,white
CNaikV3p1LK4OYwdZ,64,64,0.0,0.0,white
C2Ao8511pDX0mFcdU4,40,40,0.0,0.0,white
CPR1Ch3azSavGJxP8c,40,40,0.0,0.0,white
CJidDO3v2Wd7SmySI4,"40,384","40,4160,376,48","0.0,0.0687","0.0,0.009855,0.00001,0.0",white
CVx46w1ZpvZ72q66x9,40,40,0.0,0.0,white
CabxPT1yEXcfU4F3Gj,"40,544","40,744","0.0,2.070482","0.0,0.888829",white
CdCLi91qAcm7MRT9K,"40,832","40,1320","0.0,2.651839","0.0,0.490899",white
CmfDSAQpf0XAFXlmk,"60,40,262,26","40,380","0.0,0.0,0.007446,0.920468","0.0,0.053557",white
CwredQ1mFlFalKn6W8,40,40,0.0,0.0,white
C9R8Rq2DIkMqFFTtee,40,40,0.0,0.0,white
CafR9p1u8jXy8PSFPe,"32,190","32,271","0.0,4.052346","0.0,0.220644",white
CEFxk42lqrUNmffY8k,40,40,0.0,0.0,white
CPDJug4mxdTuNqQbG,40,40,0.0,0.0,white
Cxad5wXNwmW24Y8c2,40,40,0.0,0.0,white
C6TXWk43nblvrMe2Nb,40,40,0.0,0.0,white
C3OQPJ3lJvToIyag1g,40,40,0.0,0.0,white
CuwCLG1a2Qzfqt5njj,40,40,0.0,0.0,white
CL0NH8YXB2lJxP37l,40,40,0.0,0.0,white
CSqhL027AgYINvqExk,40,40,0.0,0.0,white
CXnq9727Ou3afvNZL8,40,40,0.0,0.0,white
CFdNr334ruphmShqtd,"40,192,392","40,1008","0.0,2.323807,0.002104","0.0,0.122117",white
CC6p2BZdng5iEA376,40,40,0.0,0.0,white
CkHF7S1ufWof0iJxqe,"40,352",40,"0.0,10.912228",0.0,white
CdhaGg1ZteMifOq43g,40,40,0.0,0.0,white
CuHHo92AigMsXut1k9,40,40,0.0,0.0,white
Csa0Yy11SsBPhe8Izg,40,40,0.0,0.0,white
C9hpUh4MgAciTZNsTa,40,40,0.0,0.0,white
CaIBXE3kKiitV7DFF6,"40,1047,26","40,879,26","0.0,0.020498,0.005066","0.0,0.269545,0.0",white
CfE4x73BMJ4B6XkYa7,40,40,0.0,0.0,white
C0Gleq3WPpuBR0Q0Pb,40,40,0.0,0.0,white
CaoZBi2We6aUys3Pnl,40,40,0.0,0.0,white
CusQ3b24JOiOtXHpi8,40,40,0.0,0.0,white
Cyt8x31L42ExICRlj,36,36,0.0,0.0,white
COZbOXQkQVcddJfzj,40,40,0.0,0.0,white
CFpkeF2dwxCXtOhPAg,40,40,0.0,0.0,white
CNgac4grpZECriBV3,40,40,0.0,0.0,white
C6AdB91Mecs89bMB53,40,40,0.0,0.0,white
COdkGMiQFKfUUEKs2,40,"40,24",0.0,"0.0,5.815631",white
Cubz0m2WZza4AjE8f,40,40,0.0,0.0,white
Cgc4yo3pLgiKHK6VYc,40,40,0.0,0.0,white
CWz41jw3Te5fG4oF,"40,232","40,4488,5864,1432","0.0,2.643642","0.0,0.212755,1.584915,0.19401",white
C60XEG1I0PIp7LuAG8,"40,408,424","40,24,184,24,440","0.0,6.957104,0.004976","0.0,0.228101,0.0,0.73808,0.0",white
CnjsWD4xDT3nQ7qYci,"40,224","40,24,200","0.0,4.786425","0.0,0.285097,0.0",white
C5Uj8f4UC5zaHukrie,40,40,0.0,0.0,white
CwqmQs37KU09kzdJq4,"40,148,26","40,168,26","0.0,0.006374,0.004335","0.0,0.021363,0.0",white
C3pSML7idFBpAOY8k,40,40,0.0,0.0,white
C3x5C43g55s7be2ekh,40,40,0.0,0.0,white
CeSDoT1FscP3aUD0Me,"40,352",40,"0.0,11.414589",0.0,white
CFBvQGV7xzMUu4JZd,40,40,0.0,0.0,white
C0dDCQiaap58l5pK6,64,64,0.0,0.0,white
CObuls3dvL3CZGkja6,40,40,0.0,0.0,white
CkC51l3b9ALviA6OUk,40,40,0.0,0.0,white
CLg2uf1hjE4bNyHpT,40,40,0.0,0.0,white
C6xHEw4eTrC4ld3M2i,40,40,0.0,0.0,white
CY931H3tMP0LPG11hg,40,40,0.0,0.0,white
C4CpZo1GtRTJPM3wlk,40,40,0.0,0.0,white
CeLUMo20a2gWmoqkCk,40,40,0.0,0.0,white
CyqU8E1IfJVoen85F1,"40,352",40,"0.0,11.438604",0.0,white
CRI0QTvFSCGBUwy0k,"40,264","40,400","0.0,2.42462","0.0,0.20748",white
ChPH6Y3RpIL841e16d,40,40,0.0,0.0,white
CKz6er1LbaPI2Uaes4,40,40,0.0,0.0,white
Cq7qG93pPEIoWqFbD8,40,40,0.0,0.0,white
C65rNW2ZDHdWz9EXKk,"40,352",40,"0.0,12.130126",0.0,white
C2ZbFN1Czm6DWYRi3i,40,40,0.0,0.0,white
CV53u1NvIqvvqonJk,40,40,0.0,0.0,white
Cebf1t1zyK4nNWLWgb,40,40,0.0,0.0,white
CPrlcr1kIMNkwIF25,"40,352",40,"0.0,12.320924",0.0,white
Cz49sISe81N0CdLyf,40,40,0.0,0.0,white
C70rjj10CAw6MZZbwb,40,40,0.0,0.0,white
CO8gICY7m70D7tJQg,40,40,0.0,0.0,white
C5nLQV3B6A3EeudHNg,40,40,0.0,0.0,white
CgbDRI3SLII2TzB5f1,"40,832","40,1312","0.0,2.409801","0.0,1.4585",white
CMiNiw2M73Io6DnmTg,40,40,0.0,0.0,white
Cozs5nFo735zfiKz8,40,40,0.0,0.0,white
C53IYW1ZEGakaoLuKl,40,40,0.0,0.0,white
CK8jow4zQ0oYTkwAia,40,40,0.0,0.0,white
CUMY2E1b6s7hkZH5Fd,40,40,0.0,0.0,white
CznV261BbAiH9YsePh,40,40,0.0,0.0,white
CTSJh037ze4wDvHRh4,"40,168,200","40,256,3392","0.0,2.850623,0.03119","0.0,0.18438,0.198338",white
CzlfbQZkXJapZa8j6,"40,112","40,256","0.0,0.057263","0.0,0.193534",white
CrpYuR14oIvABwpZ9,40,40,0.0,0.0,white
Ci0qL1jxUVO3geyvh,40,40,0.0,0.0,white
CG4enIzLSjnfTH0H3,"40,264","40,24","0.0,2.56668","0.0,3.890033",white
CduJpC2cCUmx9JpmPi,40,40,0.0,0.0,white
CrgUoP14fplRPcknA5,40,40,0.0,0.0,white
CGPLTg4enhofV41c39,"40,424,440","40,24,184,24,440","0.0,6.14918,0.003367","0.0,0.226601,0.0,0.668106,0.0",white
CmWg9J2JpkBumjANZ2,40,40,0.0,0.0,white
CrXQHq4XwMT314U5dk,40,40,0.0,0.0,white
CcqmdEh6ALML9FIb5,"40,368","40,13384","0.0,1.795406","0.0,0.048147",white
C0aGQl4chGNdvmRDAl,40,40,0.0,0.0,white
CCAmk21uFdBV4Bmt77,40,40,0.0,0.0,white
CwaNOs1lCdPPxxqsBh,40,40,0.0,0.0,white
CR8FOZ2V7FQlyqKGFk,40,40,0.0,0.0,white
CkwsDx2mfY4oI1zMwa,"40,424,440","40,24,184,24,440","0.0,8.542627,0.003427","0.0,0.415242,0.0,0.415704,0.0",white
CDKfML3WSMSVhx8v0j,40,40,0.0,0.0,white
CiS8y03Hdqih2QdYki,"40,128","40,944","0.0,1.44116","0.0,0.004862",white
CSNHnK3VyCw8Idapv2,"40,384,400","40,4488,48,16408,9288","0.0,0.209876,0.948026","0.0,0.137186,0.0,0.012932,0.00125",white
C4kbew3JuVfuxqUlmi,"32,213","32,174","0.0,8.214549","0.0,0.292215",white
CJJLW11sjUDIgViZWh,40,40,0.0,0.0,white
ChK5ZV2ZsoS1ia3735,40,40,0.0,0.0,white
C7kPIn2H2KDphYi3lg,40,40,0.0,0.0,white
CJckNchoMWWIJ3Rof,40,40,0.0,0.0,white
COvTlm1Jg5xd4xdFyd,40,40,0.0,0.0,white
CMNnz531C3Jz2Rbige,40,"40,24",0.0,"0.0,0.362726",white
CrwRRQRLQSJAI79ch,40,40,0.0,0.0,white
CptdCT14dkeXli9SSb,40,40,0.0,0.0,white
CbwiBg4es1YhD4gD7g,40,40,0.0,0.0,white
CekVXl2gBji1Tpwp2b,40,40,0.0,0.0,white
CAZuKO5vtNXZO6ZU9,40,40,0.0,0.0,white
