uid,orig_spl,resp_spl,orig_spt,resp_spt,label
CS5yYQ1vJxspacp013,"40,158,761,33,41,432,41,757,41,685,41,41,41,41,41,26","40,51,37,33,461,1425,1425,622,41,98,1425,1425,1425,1425,476,41,52,41,44,41","0.0,0.059847,0.000963,0.000672,0.002399,1.948406,0.00204,0.330604,0.001855,0.132652,0.021307,61.778419,61.433579,61.159156,4.982176,0.029061","0.0,0.001428,0.000077,0.015996,0.084057,0.000074,0.000034,0.0,0.0,0.069572,0.01244,0.000313,0.0007,0.000056,0.0,0.000025,0.037716,0.000529,0.050453,0.0",1-win
CcAOS11iWccpRViKl,"40,158,236,33,41,41,41,41,41,26","40,51,37,33,292,1425,1425,1425,1425,881,41,41,41,41","0.0,1.007647,0.002607,0.09411,0.029264,61.808593,61.389061,61.137895,4.926598,0.038135","0.0,0.001127,0.0,0.018721,0.026434,0.000059,0.000031,0.000027,0.001513,0.001324,0.0,0.020891,0.028332,0.030349",1-win
CIFOuo18BTxCxRMMmg,"40,158,33,41,41,41,41,26","40,51,37,33,41,41,41","0.0,1.884503,0.063948,62.000935,61.387568,61.137765,4.927741,0.039234","0.0,0.0,0.0,0.028275,0.027654,0.022488,0.029998",1-win
CLQhH9D5t7CRAtZti,"40,158,33,41,41,41,41,26","40,51,37,33,41,41,41","0.0,0.657967,0.03955,62.177509,61.075006,60.989404,5.05959,0.027066","0.0,0.0,0.000589,0.025611,0.02668,0.027048,0.01895",1-win
CLvMP6SVbbzJghIub,"40,158,761,33,41,223,41,41,41,41,41,26","40,51,37,33,239,75,41,201,75,41,41,41,41","0.0,0.678837,0.021303,0.017319,0.040244,13.846594,0.003251,62.414251,61.939791,60.934159,4.308248,0.031931","0.0,0.001818,0.0,0.006493,0.023773,0.000341,0.001687,0.04867,0.000277,0.000514,0.023782,0.067969,0.031382",1-win
CmuelB3GTJ5BXgb2Fi,"40,158,33,41,41,41,41,26","40,51,37,33,41,41,41","0.0,0.089191,0.038835,61.724178,60.952035,60.888956,5.466442,0.027905","0.0,0.0,0.000188,0.003209,0.023132,0.019816,0.018128",1-win
CaPHUp2UUvj8DNNZb3,"40,158,33,721,41,91,41,345,41,41,41,41,41,26","40,51,37,33,524,298,41,73,289,41,626,75,41,41,41,41","0.0,0.00213,0.015385,11.801956,0.007919,2.250927,0.056664,21.704803,0.00845,61.141687,60.986163,60.895648,5.403407,0.053321","0.0,0.000073,0.0,0.003241,0.051039,0.000077,0.0,0.029969,0.012158,0.0,0.235252,0.001134,0.003168,0.02077,0.025215,0.036044",1-win
CRECRY15ESDIU6fld,"40,158,641,33,41,659,41,597,41,41,41,41,41,26","40,51,37,33,213,41,324,507,41,140,75,41,41,41,41","0.0,1.087403,0.00135,0.249455,0.140676,0.527648,0.18077,33.397018,0.006782,61.684468,60.950643,60.92993,5.371461,0.016885","0.0,0.000944,0.000045,0.030188,0.046117,0.0,0.040839,0.00074,0.000591,0.192527,0.0,0.0,0.034156,0.028997,0.038691",1-win
CAJsdh3a6vHCeBAtl5,"40,158,369,33,41,41,41,41,41,26","40,51,37,33,374,41,41,41,41","0.0,0.130255,0.001978,0.076546,0.014022,61.540375,60.979752,60.66588,4.832291,0.035192","0.0,0.001305,0.0,0.017227,0.022978,0.001026,0.025507,0.019874,0.01993",1-win
CyL60g1RQnq5dAwAlb,"40,158,33,263,154,156,154,155,155,155,155,155,154,154,153,154,154,155,154,154","40,51,37,33,227,1425,1425,1425,1425,1425,1425,1425,1425,966,41,61,1425,1425,1425,1425","0.0,0.121129,0.000903,4.43663,0.000943,0.005921,0.003418,0.010729,0.001104,0.004675,0.00446,0.001938,0.00321,0.000724,0.001374,0.002327,0.003231,0.00212,0.00185,0.001382","0.0,0.0,0.000113,0.028736,0.003359,0.002447,0.00005,0.000031,0.000031,0.000026,0.000027,0.000901,0.000096,0.001271,0.0,0.00261,0.020721,0.000074,0.022551,0.000804",1-win
CVk5dv1gTCmCsUnq15,"40,175,26","40,51,37,33","0.0,0.010941,0.090302","0.0,0.001459,0.0,0.027266",1-win
CnYHXq47KoLZD43YVl,"40,158,33,41,41,41,41,26","40,51,37,33,41,41,41","0.0,0.014776,0.03065,62.03444,62.099366,61.603605,5.322045,0.022988","0.0,0.000065,0.0,0.025608,0.021939,0.029497,0.019745",1-win
CseuZn3Uq8hffQJqad,"40,339,333,1046,1046,1054,1045,1045,1054,1055,1055,1054,1055,1057,1057,1057,1057,1057,1057,1057","40,211,211,808,16408,16408,16408,16408,808,16408,16408,16408,16408,808,16408,16408,16408,16408,3717,807","0.0,0.005007,0.409746,0.469495,0.610726,5.847556,0.074617,0.751435,0.33685,1.150932,1.20852,0.695535,0.745429,0.351886,0.863656,0.440337,0.208038,0.323773,0.834429,11.623686","0.0,0.034378,0.017779,0.019005,0.019869,0.009703,0.010777,0.018875,0.014005,0.007597,0.00701,0.006337,0.013543,0.013127,0.016909,0.010239,0.008141,0.007101,0.000087,0.024156",1-win
CPpix6yiyBPkyM3ck,"40,1062,1062,26","40,809,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408","0.0,0.01019,0.118131,31.054342","0.0,0.061475,0.021197,0.016783,0.009959,0.035084,0.005979,0.00837,0.027508,0.018663,0.018088,0.055051,0.010284,0.043589,0.020422,0.019325,0.037263,0.005471,0.043495,0.035125",1-win
CWgarc3SG8wqLINs8,"40,175,26","40,51,37,33","0.0,0.046516,0.055018","0.0,0.0,0.0,0.034654",1-win
C3l43h17FkwcUWP3pb,"40,158,41,26","40,51,37,33","0.0,0.006747,0.002083,0.17804","0.0,0.0,0.000717,0.017875",1-win
CwfXtj56ZGOCCG981,"40,1062,1062,26","40,809,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408","0.0,0.008199,17.436976,30.759256","0.0,0.068912,0.020016,0.07918,0.012768,0.010471,0.006842,0.038366,0.04994,0.007824,0.008276,0.005054,0.005018,0.026087,0.088334,0.000403,0.033617,0.003199,0.318141,0.000392",1-win
CranUd43x7HvTSmMpe,"40,158,252,126,125,126,126,126,126,127,126,126,126,125,126,127,127,126,126,126","40,51,37,33,292,1425,47,41,102,591,102,659,102,665,102,647,102,590,107,1425","0.0,0.10255,0.000828,0.004447,0.000711,0.00151,0.001512,0.001355,0.00251,0.002635,0.001,0.001616,0.001265,0.001949,0.001066,0.001161,0.000196,0.000717,0.000995,0.001551","0.0,0.078663,0.000386,0.001502,0.013065,0.000076,0.000028,0.001565,0.001307,0.0,0.000198,0.000394,0.002502,0.000212,0.001286,0.000796,0.006179,0.0,0.002127,0.001898",1-win
ChHmZc2SreUZwwHcq3,"40,158,409,33,41,1649,41,1120,41,300,41,1180,41,269,41,339,41,270,41,164","40,51,37,255,33,598,41,78,1425,1425,1425,1425,1425,1425,1425,1425,1425,669,41,77","0.0,0.006209,0.001663,0.034931,0.304015,0.008115,0.0179,0.018967,0.218456,0.044404,0.224236,0.004879,0.286362,0.327367,0.230023,0.160857,0.170274,0.410338,0.159555,0.014708","0.0,0.0,0.001797,0.00913,0.0,0.003912,0.000083,0.033543,0.000537,0.000032,0.000035,0.000026,0.010004,0.000039,0.000028,0.004864,0.000094,0.000902,0.0,0.063208",1-win
CLm4kp1rOJ1DwWDHE1,"40,158,33,839,41,457,41,253,358,41,85,41,657,41,465,41,648,41,162,358","40,51,37,33,268,41,68,41,233,544,41,60,41,45,41,68,41,68,41,77","0.0,0.005911,0.004295,9.191645,0.005839,5.955704,0.011673,0.154141,0.001393,0.009177,24.84991,0.00752,0.170875,0.068372,16.536497,0.011602,21.953403,0.03243,17.262064,0.001268","0.0,0.01825,0.001099,0.020952,0.037874,0.0,0.032006,0.000083,0.085634,0.0,0.0,0.045133,0.004418,0.05268,0.0,0.029978,0.013127,0.033297,0.00117,0.07098",1-win
CNVsQ63X07fBRJQPri,"40,158,41","40,51,37,33","0.0,0.004438,0.000899","0.0,0.0,0.000483,0.0",1-win
Cq6xbu4BBpqwdrAcAg,"40,175,26","40,51,37,33","0.0,0.009234,0.004639","0.0,0.0,0.000324,0.010977",1-win
CZPYlj4BNlMsJkBCx5,"40,175,26","40,51,37,33","0.0,0.062291,0.241367","0.0,0.001607,0.0,0.018958",1-win
CWeTDq3Ngo7adzBEH4,"40,175,26","40,51,37,33","0.0,0.131046,0.269034","0.0,0.000223,0.0,0.019348",1-win
CRXZZa41lxNI18ux97,"40,175,26","40,51,37,33","0.0,0.094886,0.249726","0.0,0.0,0.0,0.020563",1-win
CKU5lG3kFSVuDt6prg,"40,175,26","40,51,37,33","0.0,0.151814,0.279471","0.0,0.0,0.0,0.016754",1-win
CbyeDmYEMHpaC5ZIh,"40,175,26","40,51,37,33","0.0,0.163441,0.295968","0.0,0.001453,0.0,0.020633",1-win
Cc2UR9GejyFpmMOH1,"40,175,26","40,51,37,33","0.0,0.105358,0.256263","0.0,0.001701,0.001612,0.02273",1-win
CCZPdH2gM47TLZR4fi,"40,158,41,26","40,51,37,33","0.0,1.286137,0.001173,0.050288","0.0,0.001063,0.000052,0.030842",1-win
CfvDnk3J64FzNlHdnh,"40,26",40,"0.0,5.606074",0.0,1-win
CEWFf31eWJOChcmJ52,"40,26",40,"0.0,5.231264",0.0,1-win
CecakE34F7Vrn4bVF3,"40,175,26","40,51,37,33","0.0,0.06682,0.023412","0.0,0.0,0.0,0.020809",1-win
CK7k5l4IYzI4pvQbob,"40,175,26","40,51,37,33","0.0,0.022974,0.082136","0.0,0.0,0.0,0.021041",1-win
CHpoxL5WZmNTzhqqg,"40,1236,26","40,815,40,1160,2072,1824","0.0,0.015337,0.019911","0.0,0.023523,0.0,0.000082,0.000036,0.001557",1-win
C8qI5a21bk6txdYNdl,"40,26",40,"0.0,5.296268",0.0,1-win
CpveRR3ISrsJSAhFqa,"40,26",40,"0.0,5.422056",0.0,1-win
CrZjma3s61f73XOvi2,"40,26",40,"0.0,5.626695",0.0,1-win
CuT6V74fdUKEXRUV94,"40,175,26","40,51,37,33","0.0,0.008795,0.005342","0.0,0.0,0.003242,0.033606",1-win
CzjMa31IOdrxXOMqad,"40,1622,26","40,808,16408,16408,16408,16408","0.0,0.050318,30.082519","0.0,0.07375,0.031335,0.027976,0.014406,0.00693",1-win
CKkqRC46E50SIpqAUj,"40,26",40,"0.0,5.64825",0.0,1-win
CDhNz8bFN3rHCFeR1,"40,26",40,"0.0,5.650817",0.0,1-win
CedxkL1YcGKSOFxWAa,"40,175,26","40,51,37,33","0.0,0.020096,0.054129","0.0,0.0,0.0,0.038111",1-win
CKJODSlrcH3kyDP88,"40,704,26","40,815,40,1160,2072,1824","0.0,0.083426,0.072937","0.0,0.082971,0.0,0.000072,0.000035,0.000061",1-win
C7bW4m4kerPQJKw5u4,"40,696,730,726,729","40,1278,4257,974,1210,26","0.0,0.170534,0.338829,0.044263,0.319451","0.0,0.217559,0.200747,0.196027,0.195774,60.612017",1-win
CYuhRw6siEOhQUqWb,"40,1624,1632,1632,1630,1632,1631,1632,1632,1631,1633,1632,1635,1633,1636,1633,26","40,809,16408,16408,16408,16408,16408,16408,15177,809,16408,16408,16408,16408,16408,16408,15177,809,16408,16408","0.0,0.063637,0.966729,0.661513,1.954574,0.740106,0.829488,0.265349,0.860414,0.936653,0.807712,0.898869,1.535044,2.828648,0.45629,1.932498,30.177376","0.0,0.029696,0.017352,0.024071,0.011547,0.014932,0.132595,0.000352,0.001752,0.403568,0.024654,0.025984,0.017453,0.022019,0.019932,0.026919,0.013948,0.016606,0.050393,0.001559",1-win
CuU3bc3n8TlZcbb1L7,"40,175,26","40,51,37,33","0.0,0.008574,0.104401","0.0,0.0,0.000943,0.027719",1-win
CZqAeG35EsnIMRNRMg,"40,339,26","40,211","0.0,0.005067,30.000716","0.0,0.017117",1-win
CIKWGI2XqcBMOHlJgf,"40,333,26","40,211","0.0,0.032952,30.043372","0.0,0.040597",1-win
CAQTXUNyUBJTIlvxc,"40,1044,26","40,808,16408,16408,16408,16408","0.0,0.006351,30.041899","0.0,0.064931,0.03911,0.052843,0.108803,0.04358",1-win
Cn9Ep52RYBbjUvGNbi,"40,175,26","40,51,37,33","0.0,0.002097,0.102506","0.0,0.000946,0.002907,0.018058",1-win
Ck0pj04hwWHqYPzzyf,"40,175,26","40,51,37,33","0.0,0.008942,0.036594","0.0,0.0,0.0,0.014151",1-win
CdsbsA17kQrimZtKni,"40,4327","40,151,26","0.0,0.022618","0.0,0.407477,60.818634",1-win
CT9R0zPtXY1ogSsAe,"40,1044,1052,1052,1043,1043,1042,1053,1053,1052,1053,1054,1055,1055,1055,1055,1055,1055,1055,1055","40,808,16408,16408,16408,16408,16408,840,809,16408,16408,16408,16408,16408,16408,16408,16408,192,808,16408","0.0,0.034598,8.115615,6.157888,0.51473,10.943313,0.709278,0.538716,3.224379,0.961949,8.705507,2.452406,0.848033,1.637719,1.474574,1.401958,2.135074,1.542766,0.815662,0.78123","0.0,0.029881,0.052221,0.044081,0.155309,0.028706,0.014586,0.000031,0.028244,0.019912,0.019183,0.047648,0.033911,0.018404,0.062909,0.020064,0.029899,0.0,0.024217,0.022254",1-win
CLADHoddHCuorIbc4,"40,158,369,33,41,41,41,26","40,51,37,33,374,41,41","0.0,0.018053,0.001642,0.067593,0.11107,62.389377,41.294515,0.035745","0.0,0.0,0.0,0.151709,0.001746,0.0,0.021244",1-win
CukaeE3SrLGPJfw8g7,"40,158,725,33,41,41,41,41,26","40,51,37,33,129,41,41,41","0.0,0.064917,0.004917,0.019346,0.00153,62.519586,64.130916,0.257214,0.047125","0.0,0.000081,0.006963,0.091517,0.016269,0.008745,0.019073,0.04959",1-win
CUAPGr2F0QEwIe39D9,"40,158,760,33,41,224,41,872,41,41,41,26","40,51,37,33,239,75,41,201,75,41,67,75,41,41","0.0,0.167852,0.002033,0.004761,0.002256,12.67943,0.003946,5.793167,0.023758,61.983236,57.399993,0.056897","0.0,0.0,0.0,0.027162,0.038353,0.008242,0.0,0.044962,0.0,0.000462,0.042427,0.003837,0.0,0.027772",1-win
CpKMhj4NLsUURhXhS1,"40,158,784,33,41,115,41,493,41,249,41,345,41,92,41,103,41,41,26","40,51,37,33,617,75,41,198,231,41,50,260,41,474,75,41,595,75,41,195","0.0,0.010999,0.001018,0.007104,0.172013,11.285209,0.002602,0.557871,0.003205,8.787197,0.00654,36.734898,0.020562,17.891879,0.018985,9.573882,0.226608,55.823279,0.049311","0.0,0.0026,0.0,0.013887,0.040111,0.0,0.003869,0.028558,0.003998,0.0,0.029432,0.0,0.0,0.104438,0.000639,0.001263,0.109741,0.001037,0.001249,0.05799",1-win
CEMYFa2003azDW81p6,"40,158,640,658,33,41,861,41,596,41,41,41,26","40,51,37,33,430,506,41,83,509,786,41,140,75,41,41","0.0,1.274171,0.001978,0.003856,0.024181,0.003843,19.850722,0.003779,36.536311,0.007293,63.810556,19.400381,0.078521","0.0,0.0,0.0,0.025666,0.037079,0.0,0.00118,0.0,0.067388,0.0,0.0,0.053585,0.0,0.0,0.090429",1-win
CKAFfl2SZwCUR48z7f,"40,158,761,33,432,41,755,688,41,350,41,80,41,41,26","40,51,37,33,461,1425,1425,1148,41,95,1425,1425,1425,1425,1016,52,41,44,67,41","0.0,0.397266,0.000346,0.001517,0.003016,0.002637,0.314194,0.013329,0.022058,44.45337,0.038789,36.270863,0.14063,60.576295,0.071994","0.0,0.003274,0.0,0.016556,0.048294,0.013787,0.000057,0.000027,0.000949,0.035142,0.006187,0.000028,0.000019,0.000037,0.0,0.031853,0.0,0.010837,0.136555,0.000237",1-win
CN0Vx92HCq5zYgkBGe,"40,158,33,618,41,41,186,41,41,26","40,51,37,33,389,1425,1425,1425,1425,1425,1425,1425,1425,1425,50,41,41,175,1425,129","0.0,1.129414,0.171608,4.24193,0.006918,62.35182,18.488698,0.016638,54.820516,0.074042","0.0,0.0,0.00007,0.048095,0.020335,0.004752,0.000491,0.001661,0.001118,0.000032,0.007813,0.000037,0.000034,0.000411,0.001698,0.0,0.029182,0.084102,0.000115,0.002333",1-win
C6MIRx1QGik7MCepD2,"40,158,33,41,41,41,26","40,51,37,33,41,41","0.0,0.000716,0.01044,62.251195,64.064336,17.333874,0.098652","0.0,0.000452,0.0,0.007944,0.021645,0.028915",1-win
CXKHMB3ydMRGoN525i,"40,158,285,33,41,188,154,166,41,153,167,167,167,154,155,154,41,154,155,153","40,51,37,33,429,1425,1425,542,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1000","0.0,0.400016,0.000324,0.005631,0.025331,1.535828,0.084462,0.04209,0.008673,0.018721,0.006779,0.004581,0.127954,0.112674,0.035528,0.01677,0.043283,0.015796,0.006911,0.110246","0.0,0.00172,0.0,0.014753,0.049947,0.000435,0.000029,0.0,1.090545,0.001177,0.000264,0.000031,0.001526,0.000523,0.000279,0.000139,0.006521,0.000176,0.000056,0.000024",1-win
CFhs3z3xoU2hn1PQ96,"40,158,237,33,41,161,41,218,41,143,41,142,41,41,41,26","40,51,37,33,312,1425,1425,649,1215,41,123,1425,1425,1425,193,41,126,1425,1425,1425","0.0,0.424471,0.001617,0.010409,0.004936,58.724438,0.003024,3.099273,0.025895,0.466753,0.05122,1.746506,0.080902,64.169976,11.248193,0.102754","0.0,0.0,0.0,0.020064,0.01341,0.005907,0.000038,0.002407,0.000102,0.0,0.026369,0.001729,0.000066,0.000028,0.0,0.0025,0.017724,0.005847,0.000709,0.001358",1-win
CoYXANWUhiN3WFan6,"40,158,352,33,41,41,41,26","40,51,37,33,669,75,41,41","0.0,0.149303,0.000305,0.030133,0.015435,63.79401,20.482403,0.092597","0.0,0.0,0.0,0.020739,0.030446,0.0,0.0,0.038747",1-win
CcNLEW3VfVmPydIrU2,"40,158,849,33,33,41,41,41,41,26","40,51,37,33,211,41,41,41","0.0,0.002495,0.002091,0.028449,0.003272,0.006293,62.139145,63.993126,8.080263,0.056167","0.0,0.001932,0.0,0.185361,0.001348,0.002023,0.191664,0.164791",1-win
CPjoB32zH5CCPl5dF9,"40,158,41","40,51,37","0.0,0.032446,0.00089","0.0,0.001963,0.0",1-win
CtYgS34bqWgDkCydGb,"40,158,285,33,41,26","40,51,37,33,429,1425,1425,547,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1425,1000","0.0,0.051428,0.002392,0.002191,0.021728,0.000717","0.0,0.001972,0.0,0.016935,0.060542,0.000986,0.000391,0.000356,0.967124,0.003419,0.000035,0.000029,0.000029,0.000027,0.000594,0.000038,0.00147,0.000177,0.000035,0.00813",1-win
C0zSsb1th1QT95nYY,"40,175,26","40,51","0.0,0.005129,0.000681","0.0,0.000966",1-win
CC3Yib19iRt0lMpchg,"40,175,26","40,51,37,33","0.0,0.020778,0.540356","0.0,0.003682,0.0,0.019192",1-win
CluDBJ34udZo5EepEi,"40,158,41,26","40,51,37,33","0.0,0.016198,0.000329,0.010902","0.0,0.001434,0.000592,0.016369",1-win
C5DqHR2USo2WTWUINa,"40,175,26","40,51,37,33","0.0,0.028017,0.17802","0.0,0.002297,0.001378,0.047117",1-win
CnV7c01TNNJBw6Miab,"40,26",40,"0.0,5.498188",0.0,1-win
CxOUPBYSfPGq8uKv8,"40,158,41,26","40,51,37,33","0.0,0.021083,0.007237,0.11307","0.0,0.0,0.001227,0.017802",1-win
CYbVeW22IZjJJKR5wj,"40,158,41,26","40,51,37,33","0.0,0.054045,0.011099,0.1315","0.0,0.001935,0.0,0.018132",1-win
CAjrSAcDPg3uJM8qj,"40,158,41,26","40,51,37,33","0.0,0.551401,0.001197,0.192975","0.0,0.002158,0.0,0.025585",1-win
CEMw6A4IEf5ERClmrb,"40,158,41,26","40,51,37,33","0.0,0.737583,0.000362,0.0754","0.0,0.0,0.0,0.019302",1-win
CIstA6iOjkxuQAMEh,"40,158,259,33,41,26","40,51,37,33,299,1425,1425,1425,105,41","0.0,0.742622,0.000761,0.066063,0.003553,0.033207","0.0,0.004133,0.0,0.016499,0.015672,0.002583,0.001835,0.002066,0.0,0.0",1-win
C1lMCB328mKkzFrFF4,"40,26",40,"0.0,5.663164",0.0,1-win
CXEknT3NlXJt7mTA5j,"40,175,26","40,51,37,33","0.0,0.065505,0.00826","0.0,0.0,0.001327,0.026926",1-win
CByS4m1OBDNy4I1TEg,"40,1234,26","40,815,40,1160,2072,1824","0.0,0.005866,0.020064","0.0,0.031289,0.0,0.000092,0.000032,0.002891",1-win
C3hvqE1tBSLq6x3VZ9,"40,175,26","40,51,37,33","0.0,0.02248,0.057696","0.0,0.00098,0.001466,0.019004",1-win
CZfh9V2tMfvcwMf6Dd,"40,702,26","40,815,40,1160,2072,1824","0.0,0.045792,0.027232","0.0,0.141786,0.0,0.002109,0.00157,0.003225",1-win
CcR1vC4GZyvNgzShJc,"40,1623,1633,1632,1635,1633,26","40,808,16408,16408,16408,16408,809,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408","0.0,0.081321,2.138136,1.434509,0.336894,1.298024,30.19675","0.0,0.054473,0.00868,0.0215,0.028575,0.011671,0.041046,0.011238,0.016649,0.003825,0.014826,0.028435,0.008323,0.006853,0.071538,0.024169,0.007321,0.004741,0.066213,0.011584",1-win
ClW6tW3Y8ZWW2ddXAj,"40,1625,1630,1633,1631,1636,26","40,809,16408,16408,16408,16408,16408,16408,15177,809,16408,16408,16408,16408,16408,16408,15177,809,16408,16408","0.0,0.119296,0.788113,0.212306,0.733919,3.980934,30.173476","0.0,0.056411,0.013643,0.039035,0.015423,0.007082,0.045036,0.010698,0.01025,0.030691,0.01674,0.014685,0.012571,0.011173,0.026096,0.032851,0.00595,0.028432,0.015021,0.006886",1-win
CxiObQ2pDTBkqd1SAc,"40,26","40,26","0.0,5.030237","0.0,0.191331",1-win
CwSUbd4aLQF7hgwSTd,"40,26",40,"0.0,5.012086",0.0,1-win
CygHGxDgTpwHZ5Eb,"40,696,730,726,729","40,1278,4257,974,1210,26","0.0,0.169114,0.310154,0.067759,0.418314","0.0,0.204664,0.244884,0.257054,0.219096,60.502187",1-win
CD1G633rOVeNT3hrvk,"40,175,26","40,51,37,33","0.0,0.014353,0.095246","0.0,0.000098,0.0,0.015667",1-win
CXAV2345dwW3nFcabj,"40,340,26","40,211","0.0,0.010695,30.015807","0.0,0.01576",1-win
CFaELp1WbXwk2S4Pzd,"40,334,26","40,211","0.0,0.004377,30.031812","0.0,0.024485",1-win
C67Zed4zrfqjvgM3L,"40,175,26","40,51,37,33","0.0,0.084983,0.100509","0.0,0.002522,0.0,0.033502",1-win
